possibilidade_de_retirada_de_consentimento;u_unidade_tempo;outra_fonte_origem_dos_dados_pessoais;temporalidade;finalidade;declaracaociencia;compartilhamento_com_terceiros_operadores;number;meio_automatizado;lgpd_area;quais_areas_internas_da_organizacao;tipos_de_terceiros;finalidade_compartilhamento_interno;u_instrumentos_juridicos_sugeridos;medidas_seguranca;descricao_retirada_consentimento;os_dados_tratados_sao_limitados_aos_fins_espec_ficos_que_justificam_sua_coleta;tipo_dado_pessoal;fonte_origem_dos_dados_pessoais;outras_finalidades_areas_internas;lgpd_processo;nome_dos_terceiros;qual_o_canal_de_comunicacao;categoria_dados;assinale_abaixo_as_pol_ticas_j_utilizadas_na_sua_rea_processo;partes_que_acessam_usam_os_dados;outro_tipo_dado_pessoal;outras_medidas_seguranca;canal_de_comunicacao_questionario;base_legal_lgpd;outras_categoria_dados;outros_metodo_de_transferencia_para_destinos;descricao_do_processo;u_direitos_titular;finalidade_outro;u_conformidade;localizacao;lgpd_diretoria;paises_utilizando_o_processo;nome_do_questionario;lgpd_sistema;solicitacao_de_consentimento_quanto_a_coleta;areas_internas_com_acesso_aos_dados;metodo_de_transferencia_para_destinos;ha_transferencia_internacional_de_dados_pessoais;dado_pessoal_sensivel;titulares_de_dados_volume;localizacao_outro;outros_sistemas
FORMULARIOS DE TREINAMENTOS;Backup ou Cópia de Segurança, Gestão de Senhas;BRASIL;;;;E-Mail,  Integração de aplicativos, Cópia Eletrônica de Documentos, Documentos Físicos, Formulário WEB, Telefone;TREINAMENTOS;Verdadeiro;TREINAMENTOS;Atividades Administrativas;SESCOOP/RJ;;;;Sim;Sim;DATA DE ADMISSÃO, CTPS, CARGO, SALARIO, SETOR;TOTVS;Sim;CONTROLE DE PRESENÇA E PARTICIPAÇOES NO TREINAMENTO.;Não;Correção de Dados Incompletos, Inexatos ou Desatualizados, Confirmação da Existência de Tratamento, Oposição ao Tratamento;;Indeterminado;CONTROLE DE PRESENÇA E PARTICIPAÇOES NO TREINAMENTO, SESCOOP/RJ ORGAO QUE ATUA COMO PATROCINADOR DOS INSTRUTORES PARA O TREINAMENTO;Biometria, Dados Genéticos, Etnia, Origem Racial;Sim;PRESENCIAL, EMAIL, TELEFONE;;Celular, CPF, Dados bancários, Data de aniversário/nascimento, Detalhes de férias, E-mail, Histórico empregatício, Informações da família, Informações de filhos, Nome, Outros tipos de dados pessoais, Telefone , PIS, RG;"Empresas Privadas (especificar quais no campo ""Nome dos Terceiros"")";Acesso A Internet, Acesso Aos Sites, Adobe Reader, Carta, Correio, E-Mail, Internet, Excel, Office, Fisico, Pdf Creator, Pasta Interna, Planilhas, Presencial, Power Point, Totvs, Tminer, Telefone, Sistema Interno, Whatsapp, Word, Zoom, Windows;Falso;Não;;TOTVS;Gestão de pessoas;de  0 a 1.000;ADMINISTRATIVA;;Sim;AREA ENVOLVIDA, MARKETING, GERENCIA ADMINISTRATIVA;;;Contrato, E-mail, Ligação, Site, Via física, Scanner/Digitalização, Outras fontes de Dados;Absoluta , Computador, E-mail, Cadernos, Agendas, Nuvem, Pastas de Rede Compartilhada, Outras Localizações, Sistemas/ Aplicativos de Terceiros, Planilhas, Site;Atividades Administrativas;Dados de colaboradores, Dados de crianças
;Controle de Acesso;Brasil;;;;;Dados de cooperados recebidos em outras fontes que não as judiciais;Verdadeiro;Acesso a dados de cooperados, disponíveis em meio físico ou sistema eletrônico na empresa ou ainda recebidos de prestadores de serviço credenciados ou dos próprios cooperados, para a elaboração das contestações de ações cíveis;Atividades Jurídicas;;;;;Não;Não;;;Não;Acesso a dados de cooperados para apresentação de defesa em processos que os envolva.;Não;;;Indeterminado;;;Não;;;Nome, CPF;;Acesso A Site;Falso;Não;;;Juridico Civil;de  0 a 1.000;PRESIDENTE;;Não;;;;E-mail, Indicação/via terceiros;E-mail, Pastas de Rede Compartilhada;Assistência Jurídica, Atividades Jurídicas, Exercício Regular de Direitos em Processos Judiciais, Administrativos e Arbitrais;Dados de cooperados
;Barreiras Físicas (Descreva quais no campo “Outras medidas de segurança”);Brasil;;;;;Questionário Financeiro;Verdadeiro;Emissão 2ª via de boletos- entrega de boletos que não foram recebidos pelos clientes, essa ação pode ser solicitada por terceiros também, os dados informados são: cartão do plano de saúde ou nome e data de nascimento. Com esses dados os funcionários tem a;Atividades Administrativas;;;;A segunda via é concedida apenas ao responsável legal/financeiro ou titular.;Não;;;;Não;Emissão de boletos não recebidos pelos clientes.;Não;Acesso aos Dados;;Indeterminado;Emissão de boletos não recebidos pelos clientes , apenas para titular ou responsável financeiro.;;Sim;e-mail, presencial e telefone.;;CPF, Nome;;MV SOUL;Falso;Não;;;Financeiro;de  0 a 1.000;FINANCEIRA;;;;;;Sistemas MV ou UNICOO;Sistemas/ Aplicativos de Terceiros;Cumprimento de Obrigação Legal ou Regulatória;Dados de Clientes
;Gestão de Senhas, Controle de Acesso;Brasil;Anos;;Sim;E-Mail, Telefone;Suporte: NIP e ações judiciais;Verdadeiro;Suporte: Ações judiciais  e NIP;Gerenciamento do relacionamento com o cliente;Singulares do sistema Unimed e rede credenciada.;;Art. 11, II, d – exercício regular de direitos em contrato, processo judicial, administrativo ou arbitral;;Sim;Não;;Aplicativo, caixa de sugestão e correspondência.;Sim;Recebimento da solicitação da área (jurídico ou regulação) > apuração para verificar se temos protocolo em nome do demandante ou interlocutor > envio da tratativa (protocolo/manifestação) por e-mail.;Não;Acesso aos Dados;;5;Resoluções normativas da ANS e política/regime interno da Ouvidoria.;Dado referente à Saúde/Dados Médicos;Em Construção;Em construção;;Carteirinha do plano, CPF, E-mail, Nome, Telefone , Celular;"Outras Organizações Externas (especificar quais no campo ""Nome dos Terceiros"")";Omd, E-Mail, Acesso A Internet;Falso;Não;;;Ouvidoria;de  0 a 1.000;VICE-PRESIDENTE;;Não;Todas as áreas de relacionamento com o cliente.;;;E-mail, Ligação, Site, Sistemas MV ou UNICOO, Via física, Outras fontes de Dados, Redes Sociais;Computador, E-mail, Pastas de Rede Compartilhada, Planilhas, Site;Gerenciamento do relacionamento com o cliente;Dados de Clientes, Dados de crianças, Dados de colaboradores
;Não há;Brasil;;Monitorar e tratar os beneficiários em situação de inadimplência;;;Célula Cobrança Ativa (financeiro).;Verdadeiro;Temos uma célula do setor financeiro em nossa central realizado processo de cobrança ativa com nossos clientes pessoa física em situação de inadimplência.;Outras Finalidades;;Monitorar e tratar os beneficiários em situação de inadimplência;;;Sim;Não;;;Não;A área financeira produz um relatório com informações dos beneficiários que estão em situação de inadimplência. Esse relatório nos é direcionado para contatarmos esses beneficiários, através de um operador específico, que notifica e esclarecer as questões e implicativas relacionadas a inadimplência do plano.    O contato se da via telefone e/ou e-mail. o relatório habitualmente é composto de nome, número de telefone, informação de inadimplência dos beneficiários.;Não;Acesso aos Dados, Correção de Dados Incompletos, Inexatos ou Desatualizados;;Indeterminado;;;Sim;Telefone, e-mail;;Carteirinha do plano, Celular, CPF, E-mail, Nome, Telefone ;;;Falso;Não;;;Call Center;de 1.000  a- 10.000;VICE-PRESIDENTE;;Não;Área financeira;;;Contrato, Sistemas MV ou UNICOO;Computador, E-mail, Planilhas;Outras Finalidades;Dados de Clientes
;Barreiras Físicas (Descreva quais no campo “Outras medidas de segurança”);Brasil;;;;Documentos Físicos;Questionário Financeiro;Verdadeiro;Entrada seguro PARJ- Seguro que beneficia esposo (a) em caso de morte do titular.;Outras Finalidades;Federação das Unimeds;Analise para obtenção do direito.;;Apenas setor de cobrança faz a tratativa.;Sim;Não;;;Sim;Seguro concedido aos clientes que compram nossos planos de saúde. Quando o titular morre, o dependente tem o direito de usufruir do plano de saúde por um determinado tempo.;Não;Acesso aos Dados;;Indeterminado;Seguro concedido aos clientes que compram nossos planos de saúde. Quando o titular morre, o dependente tem o direito de usufruir do plano de saúde por um determinado tempo. Analise de documentos.;Dado referente à Saúde/Dados Médicos, Origem Racial;Sim;e-mail;;CPF, Nome, Carteirinha do plano;"Outras Organizações Externas (especificar quais no campo ""Nome dos Terceiros"")";MV SOUL;Falso;Não;;;Financeiro;de  0 a 1.000;FINANCEIRA;;Não;Cadastro;;;Sistemas MV ou UNICOO;Sistemas/ Aplicativos de Terceiros;Cumprimento de um Contrato;Dados de Clientes
;Outras Medidas de Segurança;BRASIL;;;;E-Mail;CONSULTORIA ADVICE HEALTH;Verdadeiro;ENVIO DA SOLICITAÇÃO MEDICA PARA A CONSULTORIA MEDICA DA ADVICE HEALTH;Atividades Administrativas;ADVICE HEALTH EMPRESA DE CONSULTORIA;;;AS QUE O TI DISPONIBILIZA E AS QUE APRENDEMOS NA LGPD;Sim;Sim;;;Sim;PROCESSOS QUE SÃO NECESSARIOS PARA ENVIO DA CONSULTORIA DA EMPRESA ADVICE HEALTH;Não;Informação Sobre os Compartilhamentos;;Indeterminado;AS QUE O SETOR DE TI DISPONIBILIZA EAS QUE APRENDEMOS COM A LGPD;Dado referente à Saúde/Dados Médicos;Sim;TELEFONE, E-MAIL;;Celular, CPF, Data de aniversário/nascimento, E-mail, Nome, Telefone ;"Empresas Privadas (especificar quais no campo ""Nome dos Terceiros"")";E-Mail, MV SOUL;Falso;Não;;;OPME;de  0 a 1.000;VICE-PRESIDENTE;;Não;ATENDIMENTO, GERENCIA MEDICA,;;;Contrato, Documentos de Clientes, que não sejam contratos, Sistemas MV ou UNICOO;Computador, E-mail;Atividades Administrativas;Dados de Clientes, Dados de cooperados, Dados de crianças
;Barreiras Físicas (Descreva quais no campo “Outras medidas de segurança”);Brasil;;;;;Questionário Financeiro;Verdadeiro;Exclusão de titular- saída do assinante do contrato do plano de saúde;Atividades Administrativas;;;;O Setor de cadastro faz toda a parte de cancelamento do contrato e financeiro só revisa a parte de valores quando temos a devolver ou o cliente tem a pagar.;Sim;Sim;;;Não;Ação ocorre quando o próprio titular do plano de saúde deseja se retirar do plano, deixando apenas seus dependentes ou ninguem.;Não;Acesso aos Dados;;Indeterminado;Ação só pode ser realizada pelo titular do contrato.;;Sim;e-mail e presencial.;;CPF, Carteirinha do plano, Nome;;MV SOUL;Falso;Não;;;Financeiro;de  0 a 1.000;FINANCEIRA;;Não;Cadastro.;;;Contrato, Sistemas MV ou UNICOO;Computador;Cumprimento de Obrigação Legal ou Regulatória;Dados de Clientes
;Controle de Acesso;Brasil;;Controle para pagamento de notas fiscais;;E-Mail;AGENDAMENTO DE EXAMES;Verdadeiro;Agendamento de exame para beneficiários internados ( recebo a solicitação do setor de atendimento por e-mail e encaminho também por e-mail a solicitação para o prestador executante). Depois recebo a Nota Fiscal com a cobrança dos exames realizados no mês ;Assistência Médica, Outras Finalidades;Prestador que realiza os exames Neurovida Cuidados Médicos;autorização, pagamento e cobrança;;;Sim;Não;;;Sim;Recebo a solicitação do setor de atendimento por e-mail e encaminho para o prestador por e-mail. Depois recebo a Nota Fiscal com a cobrança dos exames realizados no mês por  e-mail.;Não;;Prestadores terceirizados;Indeterminado;;Dado referente à Saúde/Dados Médicos;;;;Carteirinha do plano, Nome;"Empresas Privadas (especificar quais no campo ""Nome dos Terceiros"")";Acesso A Internet, MV SOUL, E-Mail, Whatsapp Pessoal;Falso;Não;;Pasta de pendências;Gerência Médica;de  0 a 1.000;VICE-PRESIDENTE;;Não;atendimento, auditoria, financeiro, custos assistenciais;;;Sistemas MV ou UNICOO;E-mail, Outras Localizações, Absoluta ;Assistência Médica, Outras Finalidades;Dados de Clientes, Dados de crianças, Outras categorias
;Barreiras Físicas (Descreva quais no campo “Outras medidas de segurança”);Brasil;;;;;Questionário Financeiro;Verdadeiro;Geração de Aposentado/Demitido com envio manual de boleto + slip de participação -envio manual de fatura de mensalidade de clientes aposentados ou desligados de empresa que permanecem no plano de saúde.;Cumprimento de Obrigação Legal ou Regulatória, Atividades Administrativas, Cumprimento de um Contrato, Documentação do Cliente;;;;Apenas o Faturamento trata essa ação.;Sim;Sim;;;Não;Essa ação não ocorre mais de forma manual, com a implantação do MV Soul é tudo feito automaticamente.;Não;Acesso aos Dados;;Indeterminado;Essa ação não ocorre mais de forma manual, com a implantação do MV Soul é tudo feito automaticamente. Hoje é gerado no sistema, registrado no Banco e enviado pelo Correio.;Dado referente à Saúde/Dados Médicos;Sim;e-mail e presencial;;Carteirinha do plano, RG, CPF, Nome;;MV SOUL;Falso;Não;;;Financeiro;de  0 a 1.000;FINANCEIRA;;Não;Cadastro e Atendimento ao Cliente.;;;Sistemas MV ou UNICOO;Computador;Cumprimento de Obrigação Legal ou Regulatória, Atividades Administrativas, Documentação do Cliente;Dados de Clientes
;Controle de Acesso;Brasil;;;;E-Mail;ATENDIMENTOS EM HOSPITAIS NÃO CREDENCIADOS A UNIMED NI;Verdadeiro;Pagamento Hospitais ;Assistência Médica, Atividades Administrativas;Hospitais:  Prontobaby, Samaritano, Pro Cardíaco, Daniel Lipp, Quali Ipanema, Copa dor;;;;Sim;;Endereço;;Sim;As contas  são lançadas pelos hospitais no voxis, onde são analizadas pelo setor de auditoria médica e pela enfermeira auditora que vai presencialmente em alguns hospitais. Depois de auditadas e após a data de corte todo dia 25 de cada mês, são emitidas as notas fiscais e encaminhadas por e-mail para o setor da gerência médica. As contas lançadas no voxis são importadas para o MV pela secretária da gerência médica e após o faturamento essa nota é integrada pelo MV com o setor financeiro e depois entregue fisicamente no setor financeiro para pagamento.;Não;;;Indeterminado;;Dado referente à Saúde/Dados Médicos;Não;;;Carteirinha do plano, Data de aniversário/nascimento, Nome, RG, Telefone , CPF, Outros tipos de dados pessoais;"Empresas Privadas (especificar quais no campo ""Nome dos Terceiros"")";Acesso A Internet, E-Mail, MV SOUL, Voxis;Falso;Não;;;Gerência Médica;de  0 a 1.000;VICE-PRESIDENTE;;Não;auditoria, financeiro;;;E-mail, Sistemas MV ou UNICOO, Scanner/Digitalização;Absoluta , Computador, E-mail, Planilhas, Pastas e Documentos no E-mail, Nuvem;Assistência Médica, Atividades Administrativas;Dados de Clientes, Dados de colaboradores, Dados de cooperados, Dados de crianças, Dados de candidatos
;Barreiras Físicas (Descreva quais no campo “Outras medidas de segurança”);Brasil;;;;;Questionário Financeiro;Verdadeiro;Levantamento de utilização de funcionários para empresas- processo que envolve o levantamento das utilizações dos funcionários de uma empresa que gera valores a serem descontados de seus salários, as empresas solicitam esse levantamento em caso de questio;Cumprimento de um Contrato;;;;Quem faz a tratativa é apenas o setor de Faturamento PJ.;Não;Sim;;;Não;As empresas solicitam o levantamento de utilizações de seus funcionários em caso de desligamento para descontar de suas rescisões ou para descontar do salario.;Não;Acesso aos Dados;;Indeterminado;As empresas solicitam o levantamento de utilizações de seus funcionários em caso de desligamento para descontar de suas rescisões ou para descontar do salario. Isso pode ser feito por e-mail ou telefone.;Dado referente à Saúde/Dados Médicos;Sim;e-mail ou presencial.;;Carteirinha do plano, Nome, CPF;;MV SOUL;Falso;Não;;;Financeiro;de 1.000  a- 10.000;FINANCEIRA;;Não;;;;Contrato, Sistemas MV ou UNICOO, Ligação, E-mail;Sistemas/ Aplicativos de Terceiros;Atividades Administrativas, Cumprimento de Obrigação Legal ou Regulatória, Documentação do Cliente;Dados de Clientes, Dados de crianças
;Barreiras Físicas (Descreva quais no campo “Outras medidas de segurança”);Brasil;;;;;Questionario Financeiro;Verdadeiro;Liberação de Reembolso – Cheques de devolução de valores de reembolso onde vem nominal ao responsável pelo titular, titular ou responsável legal em caso de menor.;Atividades Administrativas, Cumprimento de Obrigação Legal ou Regulatória;;;;Os cheques são feitos em nome do responsável.  As vezes entregue a terceiros quando o responsável está impossibilitado de vir a operadora, mediante a carta de próprio punho assinada e copia do documento.;Sim;Sim;;;Não;Liberação de Cheques de Reembolso de Procedimentos.  As vezes entregue a terceiros quando o responsável está impossibilitado de vir a operadora.;Não;Acesso aos Dados;;Indeterminado;Os cheques são feitos em nome do responsável.  As vezes entregue a terceiros quando o responsável está impossibilitado de vir a operadora, mediante a carta de próprio punho assinada e copia do documento.;Dado referente à Saúde/Dados Médicos;Sim;e-mail e pessoalmente.;;CPF, Nome, Carteirinha do plano;;MV SOUL;Falso;Não;;;Financeiro;de 1.000  a- 10.000;FINANCEIRA;;Não sei;Cadastro e Reembolso;;;Contrato, Sistemas MV ou UNICOO;Computador;Documentação do Cliente, Atividades Administrativas, Cumprimento de Obrigação Legal ou Regulatória;Dados de Clientes, Dados de crianças
;Controle de Acesso;Brasil;;;;;Pagamento de Prestação de serviços;Verdadeiro;Pagamento dos Parceiros Comerciais ;Atividades Administrativas;;;;;Sim;Não;;;Não;As clinicas enviam o faturamento dos serviços prestados pelo voxis até o dia 25 de cada, depois emitem a Nota fiscal de cobrança para esses atendimentos e encaminham por e-mail para o setor de gerência médica. a Nota é entregue ao Dr Jorge Henrique para autorização do pagamento. O faturamento é importado do Voxis para o Mv pela secretaria da gerência médica e após o faturamentos, a nota e integrada com o setor financeiro pelo sistema MV e depois entregue fisicamente no setor financeiro para que efetue o pagamento.;Não;;;Indeterminado;;Dado referente à Saúde/Dados Médicos;Não;;;Carteirinha do plano, Nome, CPF, Dados bancários, E-mail;;Acesso A Internet, E-Mail, MV SOUL, Fisico, Planilha De Excel  , Word, Voxis;Falso;Não;;;Gerência Médica;de  0 a 1.000;VICE-PRESIDENTE;;Não;atendimento, financeiro;;;E-mail, Via física;Absoluta , Computador, E-mail, Planilhas;Assistência Médica, Atividades Administrativas;Dados de Clientes, Dados de crianças, Dados de prestadores de serviços - pessoa física, Dados de colaboradores
;Barreiras Físicas (Descreva quais no campo “Outras medidas de segurança”);Brasil;;;;Outros métodos de transferência;Questionário Financeiro;Verdadeiro;Pagamento através de Ted- lançar os dados no Banco para a efetivação do Pagamento.;Atividades Administrativas, Cumprimento de Obrigação Legal ou Regulatória, Cumprimento de um Contrato;Bancos (Itaú, Santander, Bradesco, Unicred);;;Apenas as pessoas que tem acesso a rede bancaria com itoken.;Sim;Sim;;;Sim;Lançamos no Banco (Conta da Operadora) dados para efetivação de TED, pagamentos referente a Reembolso ou Prestador e Serviço.;Não;;;Indeterminado;Lançar manualmente informações no Banco para efetivar o pagamento.;;Não;;;Dados bancários, CPF, Nome;Instituições Bancárias;Internet (Site Do Banco) , MV SOUL;Falso;Não;;;Financeiro;de 1.000  a- 10.000;FINANCEIRA;;Não sei;Cadastro e Reembolso;Lançar informações no Banco.;;Sistemas MV ou UNICOO, Documentos de Clientes, que não sejam contratos;Computador, Sistemas/ Aplicativos de Terceiros;Documentação do Cliente, Atividades Administrativas, Cumprimento de Obrigação Legal ou Regulatória;Dados de Clientes
;Barreiras Físicas (Descreva quais no campo “Outras medidas de segurança”);Brasil;;;;Outros métodos de transferência;Questionário Financeiro.;Verdadeiro;Parcelamento de Mensalidades- Processo realizado através de Cartão de Crédito.;Documentação do Cliente;Banco do Brasil;;;Recuperação de Cliente trata e faz essa movimentação junto ao banco e com o cliente.;Não;Sim;Dados do acordo do cliente;;Sim;Parcelamento de mensalidade através de link de cartão de Crédito.;Não;Acesso aos Dados;;Indeterminado;Parcelamento de mensalidade através de link de cartão de Crédito. Cliente faz contato com a operadora, assina um termo de acordo e apos recebe o link.;;Sim;e-mail e telefone;;Outros tipos de dados pessoais;Instituições Bancárias;MV SOUL, Internet Banking;Falso;Não;;;Financeiro;de  0 a 1.000;FINANCEIRA;;Não sei;;Criação de Link no banco para envio ao cliente para pagamento.;;Sistemas MV ou UNICOO;Computador;Cumprimento de um Contrato;Dados de Clientes
;Controle de Acesso;Brasil;;;;;Analise das solicitações de Reembolso - Dr Jorge;Verdadeiro;AUDITORIA DE REEMBOLSO;Assistência Médica, Atividades Administrativas;;;;;Sim;Não;;;Não;O processo de analise de reembolso foi direcionado para o setor de custos Assistenciais. O Dr Jorge agora avalia apenas alguns casos quando precisa de suporte médico.;Não;;;Indeterminado;;Dado referente à Saúde/Dados Médicos;Não;;;Carteirinha do plano, CPF, Dados bancários, Celular, E-mail, Nome, RG;;Acesso A Internet, Acesso A Site, E-Mail, MV SOUL;Falso;Não;;;Gerência Médica;de 1.000  a- 10.000;VICE-PRESIDENTE;;Não;Diretoria, Reembolso, Atendimento, Financeiro;;;Clientes, Contrato, E-mail, Sistemas MV ou UNICOO;E-mail;Assistência Médica, Atividades Administrativas;Dados de Clientes, Dados de colaboradores, Dados de cooperados, Dados de crianças, Dados de prestadores de serviços - pessoa física
;Barreiras Físicas (Descreva quais no campo “Outras medidas de segurança”);Brasil;;;;Documentos Físicos;Questionario Financeiro;Verdadeiro;Retorno PARJ- Após um período coberto pelo seguro por motivo de morte do esposo (a), o cliente retorna ao Plano anterior vigente.;Atividades Administrativas, Cumprimento de Obrigação Legal ou Regulatória, Cumprimento de um Contrato;Federação das Unimeds.;;;Assunto tratado apenas pelo modulo Cobrança.;Sim;Sim;;;Sim;"O Processo é de reintegração do cliente ao Plano fora do seguro, onde ele permaneceu num contrato ""diferenciado e assegurado""  durante um determinado período de tempo.";Não;Acesso aos Dados;;Indeterminado;Cliente comparece a Singular para fazer toda essa tratativa de reintegração no plano de saude, isso é realizado sistemicamente pelo cadastro e finalizado pelo financeiro em relação a valores e mensalidade.;;Sim;e-mail e pessoal;;Carteirinha do plano, CPF, Nome, RG;"Outras Organizações Externas (especificar quais no campo ""Nome dos Terceiros"")";MV SOUL;Falso;Não;;;Financeiro;de  0 a 1.000;FINANCEIRA;;Não;Cadastro;;;Contrato, Sistemas MV ou UNICOO;Computador, Sistemas/ Aplicativos de Terceiros;Cumprimento de Obrigação Legal ou Regulatória;Dados de Clientes
